"MODZCTA","pop_est"
"10001","23,072"
"10002","74,993"
"10003","54,682"
"10026","39,363"
"10004","3,028"
"10005","8,831"
"10006","3,454"
"10007","7,023"
"10009","57,925"
"10010","33,730"
"10011","50,472"
"10012","23,411"
"10013","28,709"
"10014","30,738"
"10016","51,057"
"10017","15,801"
"10018","9,687"
"10030","29,882"
"10019","43,703"
"10021","46,215"
"10022","31,125"
"10023","62,435"
"10024","59,001"
"10025","92,805"
"10027","64,548"
"10028","47,793"
"10029","79,597"
"10031","60,254"
"10032","64,264"
"10033","59,607"
"10034","42,910"
"10037","21,139"
"10035","35,743"
"10036","27,428"
"10038","22,800"
"10040","44,571"
"11104","26,119"
"11105","37,382"
"10039","27,726"
"10128","59,256"
"10044","11,682"
"10065","28,109"
"10069","5,085"
"10075","23,140"
"10280","9,384"
"10282","5,593"
"10301","38,733"
"11106","38,363"
"10302","18,204"
"10303","25,947"
"10304","41,064"
"10451","47,798"
"10305","42,298"
"10306","53,142"
"10307","15,232"
"10308","30,186"
"10309","33,531"
"10310","23,262"
"10312","61,741"
"10314","90,761"
"10456","94,218"
"10452","76,078"
"10453","79,606"
"10454","38,203"
"10455","42,283"
"10457","74,554"
"10458","83,960"
"10459","48,351"
"10460","59,505"
"10461","50,348"
"11004","19,216"
"11101","30,043"
"10462","76,756"
"10463","71,360"
"10464","4,434"
"10465","44,205"
"10466","72,479"
"10467","103,732"
"10468","78,647"
"10469","73,870"
"10470","15,432"
"11102","30,800"
"11109","5,981"
"10471","21,896"
"10472","68,796"
"10473","59,609"
"10474","12,127"
"11103","36,140"
"10475","43,208"
"11201","62,823"
"11203","75,451"
"11204","76,978"
"11205","46,064"
"11206","88,349"
"11207","91,972"
"11209","67,809"
"11208","98,660"
"11210","67,040"
"11211","102,624"
"11212","76,527"
"11213","66,295"
"11218","74,508"
"11214","92,946"
"11215","70,156"
"11216","56,308"
"11217","41,407"
"11219","90,036"
"11220","95,643"
"11221","83,835"
"11222","36,492"
"11223","81,789"
"11224","46,707"
"11225","58,882"
"11226","100,277"
"11228","44,994"
"11230","89,075"
"11415","19,372"
"11229","83,615"
"11231","37,845"
"11358","37,190"
"11232","27,602"
"11233","76,819"
"11234","95,666"
"11235","78,128"
"11236","100,331"
"11237","49,310"
"11238","54,540"
"11239","13,244"
"11354","55,200"
"11355","80,853"
"11356","23,362"
"11357","39,902"
"11360","19,621"
"11372","61,844"
"11361","27,246"
"11362","18,721"
"11416","27,125"
"11363","6,952"
"11364","36,806"
"11373","93,967"
"11365","44,983"
"11366","14,650"
"11367","41,824"
"11374","42,653"
"11368","112,425"
"11417","31,927"
"11369","34,118"
"11370","32,514"
"11375","73,488"
"11379","37,851"
"11377","86,421"
"11378","37,279"
"11421","41,002"
"11422","32,082"
"11385","106,717"
"11411","20,930"
"11412","37,458"
"11413","42,443"
"11414","29,219"
"11420","48,489"
"11418","38,517"
"11419","49,618"
"11423","31,400"
"11426","20,801"
"11427","24,037"
"11428","18,929"
"11436","20,077"
"11691","67,094"
"11692","20,991"
"11693","12,919"
"11429","31,780"
"11432","62,053"
"11433","36,489"
"11434","65,989"
"11435","59,296"
"11694","21,354"
"11697","3,540"
"99999","0"
